AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
147.0,Nha Trang,PM2.5,1.0,23.0,61.0,2.0,27.0,1011.0,42.0,54.0,3.0,27.0,8.2,2021-01-26 16:00:00,Unhealthy for sensitive groups,12.284358,109.192524
113.0,Hà Nội,PM2.5,8.0,22.0,57.0,14.0,2.0,1014.0,83.0,113.0,2.0,24.5,3.8,2021-01-26 15:00:00,Unhealthy for sensitive groups,21.02022,105.81232
159.0,Hà Nội,PM2.5,5.0,22.0,57.0,8.0,2.0,1014.0,47.0,71.0,2.0,24.5,3.8,2021-01-26 15:00:00,Unhealthy,21.00577,105.74842
117.0,Hà Nội,PM2.5,8.0,22.0,57.0,20.0,2.0,1014.0,69.0,117.0,2.0,24.5,3.8,2021-01-26 15:00:00,Unhealthy for sensitive groups,21.05121,105.78232
79.0,Hà Nội,PM2.5,6.0,22.0,57.0,18.0,2.0,1014.0,55.0,79.0,2.0,24.5,3.8,2021-01-26 15:00:00,Moderate,21.0072,105.83572
188.0,Cao Bằng,PM2.5,5.0,23.7,75.8,1.0,1.0,987.8,186.0,188.0,1.0,19.8,2.0,2021-01-26 16:00:00,Unhealthy,22.6782,106.245
117.0,Hồ Chí Minh,PM2.5,5.0,25.0,60.0,10.0,6.5,1007.0,42.0,117.0,5.0,30.5,4.6,2021-01-27 15:00:00,Unhealthy for sensitive groups,10.782978,106.700711
97.0,Hà Nội,aqi,6.0,22.0,60.0,18.0,2.0,1013.0,49.0,65.0,2.0,23.0,2.5,2021-01-27 15:00:00,Moderate,21.0811211,105.8180306
109.0,Hà Nội,PM2.5,0.2,22.0,60.0,15.6,3.7,1013.0,49.0,109.0,2.1,23.0,2.5,2021-01-27 15:00:00,Unhealthy for sensitive groups,21.0215063,105.8188748
14.0,Gia Lai,PM2.5,2.0,20.4,48.9,3.0,25.0,925.2,14.0,14.0,1.0,28.6,2.0,2021-01-27 15:00:00,Good,13.998599,107.996482
61.0,Thừa Thiên Huế,PM2.5,1.0,23.0,78.0,10.0,6.5,1014.0,21.0,17.0,5.0,24.0,3.6,2021-01-27 15:00:00,Moderate,16.46226,107.596351
87.0,Hà Nội,PM2.5,13.0,22.0,60.0,19.0,3.0,1014.0,71.0,87.0,2.0,23.0,3.0,2021-01-27 14:00:00,Moderate,21.04975,105.74187
67.0,Bắc Ninh,PM2.5,2.0,22.0,60.0,9.0,24.0,1013.0,53.0,67.0,3.0,23.0,2.5,2021-01-27 15:00:00,Moderate,21.1137452,105.9268934
63.0,Lào Cai,PM10,41.0,23.9,84.0,1.0,3.0,1003.3,63.0,28.0,60.0,20.4,3.0,2021-01-27 15:00:00,Moderate,22.3221386,104.1214227
45.0,Hạ Long,PM2.5,5.0,24.65,80.0,5.0,13.0,1002.3,26.0,45.0,5.0,21.8,1.0,2021-01-27 14:00:00,Good,20.9416,107.1158
22.0,Quảng Ninh,PM2.5,6.0,24.0,80.0,18.0,6.5,1002.3,13.0,22.0,7.0,21.8,1.0,2021-01-27 14:00:00,Good,21.0357507,106.7641068
142.0,Bắc Ninh,PM2.5,5.0,22.0,60.0,34.0,24.0,1013.0,77.0,142.0,11.0,23.0,2.5,2021-01-27 15:00:00,Unhealthy for sensitive groups,21.1232473,106.2883295
106.0,Bắc Ninh,PM2.5,4.0,22.0,60.0,5.0,9.0,1013.0,60.0,106.0,3.0,23.0,2.5,2021-01-27 15:00:00,Unhealthy for sensitive groups,21.0272212,106.0342099
88.0,Hà Nội,PM2.5,48.0,22.0,60.0,50.0,2.0,1014.0,58.0,88.0,2.0,23.0,3.0,2021-01-27 14:00:00,Moderate,21.03982,105.84726
71.0,Hà Nội,PM2.5,4.0,22.0,60.0,13.0,2.0,1014.0,47.0,71.0,2.0,23.0,3.0,2021-01-27 14:00:00,Moderate,20.98832,105.854897
63.0,Hà Nội,PM2.5,5.0,22.0,60.0,21.0,2.0,1014.0,46.0,63.0,2.0,23.0,3.0,2021-01-27 14:00:00,Moderate,21.01994,105.77056
80.0,Hà Nội,PM2.5,5.0,22.0,60.0,12.0,5.0,1014.0,53.0,80.0,1.0,23.0,3.0,2021-01-27 14:00:00,Moderate,21.01525,105.80013
96.0,Đà Nẵng,CO,9.0,23.0,73.0,1.0,23.0,1013.0,25.0,32.0,6.0,24.0,1.5,2021-01-27 15:00:00,Moderate,16.074,108.217
147.0,Nha Trang,PM2.5,2.0,23.0,78.0,4.0,27.0,1012.0,42.0,54.0,3.0,24.0,5.6,2021-01-27 15:00:00,Unhealthy for sensitive groups,12.284358,109.192524
84.0,Hà Nội,PM2.5,5.0,22.0,60.0,8.0,2.0,1014.0,64.0,84.0,2.0,23.0,3.0,2021-01-27 14:00:00,Moderate,21.02022,105.81232
72.0,Hà Nội,PM2.5,5.0,22.0,60.0,8.0,2.0,1014.0,47.0,72.0,2.0,23.0,3.0,2021-01-27 14:00:00,Moderate,21.00577,105.74842
82.0,Hà Nội,PM2.5,9.0,22.0,60.0,19.0,2.0,1014.0,56.0,82.0,2.0,23.0,3.0,2021-01-27 14:00:00,Moderate,21.05121,105.78232
65.0,Hà Nội,PM2.5,4.0,22.0,60.0,18.0,2.0,1014.0,46.0,65.0,2.0,23.0,3.0,2021-01-27 14:00:00,Moderate,21.0072,105.83572
199.0,Cao Bằng,PM10,5.0,23.7,67.7,1.0,1.0,986.8,199.0,191.0,1.0,20.8,2.0,2021-01-27 15:00:00,Unhealthy,22.6782,106.245
91.0,Hồ Chí Minh,PM2.5,5.0,25.0,34.0,10.0,6.5,1009.5,42.0,91.0,5.0,32.5,2.5,2021-01-29 14:00:00,Moderate,10.782978,106.700711
143.0,Hà Nội,aqi,6.0,22.0,49.0,18.0,2.0,1018.0,49.0,65.0,2.0,22.0,3.0,2021-01-29 15:00:00,Unhealthy for sensitive groups,21.0811211,105.8180306
164.0,Hà Nội,PM2.5,0.2,22.0,49.0,14.2,0.9,1018.0,49.0,164.0,5.1,22.0,3.0,2021-01-29 15:00:00,Unhealthy,21.0215063,105.8188748
30.0,Gia Lai,PM2.5,2.0,20.4,54.8,5.0,41.0,928.2,22.0,30.0,2.0,23.2,5.0,2021-01-29 15:00:00,Good,13.998599,107.996482
35.0,Thừa Thiên Huế,PM2.5,2.0,23.0,69.0,10.0,6.5,1018.0,20.0,35.0,5.0,24.0,7.2,2021-01-29 14:00:00,Good,16.46226,107.596351
141.0,Hà Nội,PM2.5,12.0,22.0,49.0,24.0,3.0,1019.0,99.0,141.0,1.0,22.0,3.3,2021-01-29 14:00:00,Unhealthy for sensitive groups,21.04975,105.74187
